,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Comment,
1,462.56250,462.56250,,Simplex,FM,GMRS01,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
2,462.58750,462.58750,,Simplex,FM,GMRS02,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
3,462.61250,462.61250,,Simplex,FM,GMRS03,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
4,462.63750,462.63750,,Simplex,FM,GMRS04,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
5,462.66250,462.66250,,Simplex,FM,GMRS05,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
6,462.68750,462.68750,,Simplex,FM,GMRS06,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
7,462.71250,462.71250,,Simplex,FM,GMRS07,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
8,467.56250,467.56250,,Simplex,FM,GMRS08,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
9,467.58750,467.58750,,Simplex,FM,GMRS09,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
10,467.61250,467.61250,,Simplex,FM,GMRS10,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
11,467.63750,467.63750,,Simplex,FM,GMRS11,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
12,467.66250,467.66250,,Simplex,FM,GMRS12,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
13,467.68750,467.68750,,Simplex,FM,GMRS13,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
14,467.71250,467.71250,,Simplex,FM,GMRS14,Y,None,67.0,023,Scan,5 kHz,N,Low,N,N,N,N,Y,N,N,N,N,N,N,N,,
15,462.55000,462.55000,,Simplex,FM,GMRS15,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
16,462.57500,462.57500,,Simplex,FM,GMRS16,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
17,462.60000,462.60000,,Simplex,FM,GMRS17,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
18,462.62500,462.62500,,Simplex,FM,GMRS18,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
19,462.65000,462.65000,,Simplex,FM,GMRS19,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
20,462.67500,462.67500,,Simplex,FM,GMRS20,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
21,462.70000,462.70000,,Simplex,FM,GMRS21,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
22,462.72500,462.72500,,Simplex,FM,GMRS22,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
23,462.55000,467.55000,5.00000 MHz,Plus,FM,HUB1,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
24,462.57500,467.57500,5.00000 MHz,Plus,FM,HUB2,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
25,462.60000,467.60000,5.00000 MHz,Plus,FM,HUB3,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
26,462.62500,467.62500,5.00000 MHz,Plus,FM,HUB4,Y,Tone,100.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
27,462.65000,467.65000,5.00000 MHz,Plus,FM,HUB5,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
28,462.67500,467.67500,5.00000 MHz,Plus,FM,HUB6,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
29,462.70000,467.70000,5.00000 MHz,Plus,FM,HUB7,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
30,462.72500,467.72500,5.00000 MHz,Plus,FM,HUB8,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
31,146.96000,146.36000,600 kHz,Minus,Auto,PSRG,Y,Tone,103.5,023,Scan,Auto,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
32,145.13000,144.53000,600 kHz,Minus,Auto,WS VHF,Y,Tone,103.5,023,Scan,Auto,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
33,146.82000,146.22000,600 kHz,Minus,Auto,K7LED,Y,Tone,103.5,023,Scan,Auto,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
34,147.16000,147.76000,600 kHz,Plus,Auto,MERCER,Y,Tone,146.2,023,Scan,Auto,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
35,444.55000,449.55000,5.00000 MHz,Plus,Auto,COLUMB,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
36,440.52500,445.52500,5.00000 MHz,Plus,Auto,BEACN1,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
37,442.30000,447.30000,5.00000 MHz,Plus,Auto,BEACN2,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
38,443.02500,448.02500,5.00000 MHz,Plus,Auto,CAPITH,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
39,442.87500,447.87500,5.00000 MHz,Plus,Auto,CAPITH,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
40,443.47500,448.47500,5.00000 MHz,Plus,Auto,MAGNOL,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
41,443.65000,448.65000,5.00000 MHz,Plus,Auto,MPLEAF,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
42,440.60000,445.60000,5.00000 MHz,Plus,Auto,LKFORS,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
43,444.70000,449.70000,5.00000 MHz,Plus,Auto,QUEAN1,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
44,441.80000,446.80000,5.00000 MHz,Plus,Auto,WS UHF,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
45,443.37500,448.37500,5.00000 MHz,Plus,Auto,SSCUHF,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
46,444.42500,449.42500,5.00000 MHz,Plus,Auto,QUEAN2,Y,Tone,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
47,444.37500,439.37500,5.00000 MHz,Minus,Auto,CAPITH,Y,Tone,88.5,023,Scan,5 kHz,N,Low,N,N,N,Y,N,N,N,N,N,N,N,N,,
48,443.52500,448.52500,5.00000 MHz,Plus,Auto,CAPITH,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
49,441.07500,446.07500,5.00000 MHz,Plus,Auto,SHORLU,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
50,441.07500,446.07500,5.00000 MHz,Plus,Auto,KIRKLU,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
51,440.15000,445.15000,5.00000 MHz,Plus,Auto,MERCRU,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
52,443.50000,448.50000,5.00000 MHz,Plus,Auto,VASHON,Y,Tone,103.5,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
53,462.56250,465.56250,3.00000 MHz,Plus,FM,SIMP01,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
54,462.58750,465.58750,3.00000 MHz,Plus,FM,SIMP02,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
55,462.61250,465.61250,3.00000 MHz,Plus,FM,SIMP03,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
56,462.63750,465.63750,3.00000 MHz,Plus,FM,SIMP04,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
57,462.66250,465.66250,3.00000 MHz,Plus,FM,SIMP05,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
58,462.68750,465.68750,3.00000 MHz,Plus,FM,SIMP06,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
59,462.71250,465.71250,3.00000 MHz,Plus,FM,SIMP07,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
60,467.56250,470.56250,3.00000 MHz,Plus,FM,SIMP08,Y,T Sql,141.3,023,Scan,5 kHz,N,High,N,N,N,Y,N,N,N,N,N,N,N,N,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,462.55000,467.55000,5.00000 MHz,Plus,FM,REPT15,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
71,462.57500,467.57500,5.00000 MHz,Plus,FM,REPT16,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
72,462.60000,467.60000,5.00000 MHz,Plus,FM,REPT17,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
73,462.62500,467.62500,5.00000 MHz,Plus,FM,REPT18,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
74,462.65000,467.65000,5.00000 MHz,Plus,FM,REPT19,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
75,462.67500,467.67500,5.00000 MHz,Plus,FM,REPT20,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
76,462.70000,467.70000,5.00000 MHz,Plus,FM,REPT21,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
77,462.72500,467.72500,5.00000 MHz,Plus,FM,REPT22,Y,None,67.0,023,Scan,5 kHz,N,High,N,N,N,N,Y,N,N,N,N,N,N,N,,
