CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,WW7PSR Capitol Hill Seattle WA,146.96,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
2,WW7PSR Seattle,52.87,DUP-,1.7,Tone,103.5Hz,88.5,23,NN,FM,5,
3,W7PFR Eatonville,53.41,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
4,W7PFR Eatonville,443.975,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
5,WW7SEA Seattle,444.425,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
6,WW7SEA Seattle,444.7,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
7,W7DX Redmond,147,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
8,W7JCR Port Townsend,145.15,DUP-,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
9,AA7MI Marrowstone Isl.,440.725,DUP+,5.0,Tone,114.8Hz,88.5,23,NN,FM,5,
10,WA7DEM Lynnwood WA,146.775,DUP-,0.6,Tone,156.7Hz,88.5,23,NN,FM,5,
11,WA7DEM Granite Falls WA,146.925,DUP-,0.6,Tone,156.7Hz,88.5,23,NN,FM,5,
12,WA7DEM Marysville WA,224.38,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
13,WA7DEM Clearview WA,442.975,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
14,WA7DEM Mountlake Terrace WA,443.725,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
15,WA7DEM Edmonds WA,444.025,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
16,WA7DEM Marysville WA,444.2,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
17,WA7DEM Darrington WA,444.3,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
18,W7MIR Mercer Island WA,147.16,DUP+,0.6,Tone,146.2Hz,88.5,23,NN,FM,5,
19,W7MIR Mercer Island WA,440.15,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
20,W7DG Longview WA,147.1,DUP+,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
21,W7DG Woodland WA,147.3,DUP+,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
22,W7DG Longview WA,224.14,DUP-,1.6,Tone,114.8Hz,88.5,23,NN,FM,5,
23,W7DG Longview WA,444.9,DUP+,5.0,Tone,114.8Hz,88.5,23,NN,FM,5,
24,K6RFK Woodinville WA,147.34,DUP+,0.6,Tone,100Hz,88.5,23,NN,FM,5,
25,K6RFK Woodinville WA,442.775,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
26,W7AAO Enumclaw WA,145.37,DUP-,0.6,Tone,136.5Hz,88.5,23,NN,FM,5,
27,W7AAO Edgewood WA,146.64,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
28,W7AAO Buckley WA,927.85,DUP-,25.0,Tone,114.8Hz,88.5,23,NN,FM,5,
29,WA7FW Federal Way WA,146.76,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
30,WA7FW Federal Way WA,147.04,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
31,WA7FW Federal Way WA,442.925,DUP+,5.0,,88.5Hz,88.5,23,NN,FM,5,
32,WA7FW Federal Way WA,442.95,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
33,KC7EQO Blyn WA,442.1,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
34,KC7Z Gold Mtn WA,146.62,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
35,KC7Z Gold Mtn WA,442.65,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
36,KC7Z Bremerton WA,444.075,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
37,K7NWS Tiger Mtn West WA,145.33,DUP-,0.6,Tone,179.9Hz,88.5,23,NN,FM,5,
38,K7NWS Tiger Mtn West WA,224.34,DUP-,1.6,Tone,110.9Hz,88.5,23,NN,FM,5,
39,K7NWS Tiger Mtn West WA,442.075,DUP+,5.0,Tone,110.9Hz,88.5,23,NN,FM,5,
40,K7CH Baw Faw Peak WA,53.03,DUP-,1.7,Tone,114.8Hz,88.5,23,NN,FM,5,
44,N9VW Cougar Mtn.,443.325,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
45,KC7RAS Cougar Mtn WA,147.1,DUP+,0.6,Tone,123Hz,88.5,23,NN,FM,5,
46,W7PIG Camano Island WA,147.36,DUP+,0.6,Tone,127.3Hz,88.5,23,NN,FM,5,
47,W7PIG Camano Island WA,223.88,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
48,W7PIG Camano Island WA,441.05,DUP+,5.0,Tone,127.3Hz,88.5,23,NN,FM,5,
49,WA7TBP Carnation WA,223.96,DUP-,1.6,Tone,123Hz,88.5,23,NN,FM,5,
50,W7AUX Shoreline WA,224.02,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
51,W7AUX Shoreline WA,440.3,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
52,W7AUX Shoreline WA,442.825,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
53,W7AUX Shoreline WA,927.638,DUP-,25.0,Tone,114.8Hz,88.5,23,NN,FM,5,
54,K7CH Baw Faw Peak WA,444.45,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
55,K7LED Tiger Mtn East WA,146.82,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
56,K7LED Tiger Mtn East WA,224.12,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
57,W7AW West Seattle,53.29,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
58,W7AW 14858,145.13,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
59,W7AW West Seattle,441.8,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
60,N7GDE Lyman Mtn WA,145.19,DUP-,0.6,Tone,127.3Hz,88.5,23,NN,FM,5,
61,N7SK Shelton WA,146.72,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
62,N7SK Shelton WA,443.25,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
63,N7SK Shelton WA,927.413,DUP-,25.0,Tone,114.8Hz,88.5,23,NN,FM,5,
64,WA7LAW Everett WA,147.18,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
65,WA7LAW Everett WA,444.575,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
66,K7PP Mt Octopus WA,147.28,DUP+,0.6,Tone,123Hz,88.5,23,NN,FM,5,
67,K7PP Gold Mtn WA,441.2,DUP+,5.0,Tone,123Hz,88.5,23,NN,FM,5,
68,K7PP Ko Peak WA,441.3,DUP+,5.0,Tone,123Hz,88.5,23,NN,FM,5,
69,K7PP Cougar Mtn WA,443.4,DUP+,5.0,Tone,123Hz,88.5,23,NN,FM,5,
70,KC7Z Gold Mtn WA,441.175,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
71,WA7MV 206,147.32,DUP+,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
72,WA7MV 400,146.72,DUP-,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
73,WA7MV 646,444.8,DUP+,5.0,Tone,110.9Hz,88.5,23,NN,FM,5,
74,K7LWH Kirkland,145.49,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
75,K7LWH 5326,224.36,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
76,K7LWH 162,441.075,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
78,K7LWH 165,53.17,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
79,WR7VHF 283,146.88,DUP-,0.6,Tone,123.0Hz,88.5,23,NN,FM,5,
80,WR7VHF 290,147.34,DUP+,0.6,Tone,123.0Hz,88.5,23,NN,FM,5,
81,WR7VHF 17283,444.6,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
82,K7JEP 43,145.49,DUP-,0.6,Tone,136.5Hz,88.5,23,NN,FM,5,
83,K7JEP 23257,444.55,DUP+,5.0,,88.5Hz,88.5,23,NN,FM,5,
84,K7RHT 17116,147,DUP+,0.6,Tone,131.8Hz,88.5,23,NN,FM,5,
85,K7RHT 17115,444.45,DUP+,5.0,Tone,131.8Hz,88.5,23,NN,FM,5,
86,KC7VQR 181,147.24,DUP+,0.6,Tone,192.8Hz,88.5,23,NN,FM,5,
87,W6TQF 18543,440.325,DUP+,5.0,Tone,100.0Hz,88.5,23,NN,FM,5,
88,KB7APU 16535,145.25,DUP-,0.6,Tone,186.2Hz,88.5,23,NN,FM,5,
89,N7MHE 390,145.35,DUP-,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
90,K7SWI 21198,224.94,DUP-,1.6,Tone,100.0Hz,88.5,23,NN,FM,5,
91,K7SWI 21386,444.375,DUP+,5.0,Tone,100.0Hz,88.5,23,NN,FM,5,
92,N7UBO 19067,146.74,DUP-,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
93,KI7PWR 21717,146.92,DUP-,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
94,NE7MC 19962,442,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
95,NM7E Belfair WA,145.17,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
96,NM7E Belfair WA,224.26,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
97,W7ACS Seattle,440.525,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
98,W7ACS Lake Forest Park,440.6,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
99,W7ACS Seattle,442.3,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
100,W7ACS Seattle,442.875,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
101,W7ACS Seattle,443.025,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
102,W7ACS White Center,443.2,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
103,W7ACS Seattle,443.475,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
104,W7ACS North Seattle,443.65,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
105,W7ACS Seattle,444.55,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
106,KK7DFL 23719,145.275,DUP-,0.6,Tone,100Hz,88.5,23,NN,FM,5,
107,W7DK 324,145.21,DUP-,0.6,Tone,141.3Hz,88.5,23,NN,FM,5,
108,W7DK 324,147.28,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
109,W7DK 325,147.38,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
110,W7DK 549,440.625,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
111,W7FLY Lynnwood,443.925,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
112,WA7ST 2779,443.1,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
113,NC7G 2780,146.66,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
114,W7BUR 19061,441.125,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
115,WA7DES 22114,443.7,DUP+,5.0,Tone,123Hz,88.5,23,NN,FM,5,
116,N7MHE Moses Lake WA,146.7,DUP-,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
117,W7NPC 480,444.475,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
120,KB7ARA 80,147.28,DUP+,0.6,,88.5Hz,88.5,23,NN,FM,5,
121,KA7FVV 17271,147.32,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
122,N7WRR 366,147.36,DUP+,0.6,,88.5Hz,88.5,23,NN,FM,5,
123,N7WRQ 78,147.38,DUP+,0.6,Tone,100.0Hz,88.5,23,NN,FM,5,
124,N7OEP 9876,440.075,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
125,N7OEP 9912,443.175,DUP+,5.0,Tone,107.2Hz,88.5,23,NN,FM,5,
126,N7OEP 375,53.33,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
127,KB7APU 16535,145.25,DUP-,0.6,Tone,186.2Hz,88.5,23,NN,FM,5,
128,N7KN Whidbey Isl.,441.425,DUP+,5.0,Tone,110.9Hz,88.5,23,NN,FM,5,
129,N7YRC 7099,442.725,DUP+,5.0,Tone,127.3Hz,88.5,23,NN,FM,5,
130,N7YRC 17413,444.75,DUP+,5.0,Tone,131.8Hz,88.5,23,NN,FM,5,
131,N7YRC 21604,53.93,DUP-,1.7,,88.5Hz,88.5,23,NN,FM,5,
132,N3KPU 9851,145.23,DUP-,0.6,Tone,146.2Hz,88.5,23,NN,FM,5,
133,KE7YYD 13889,442.75,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
134,K7CST 9852,147.32,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
135,WA7SAR 106,146.86,DUP-,0.6,Tone,123.0Hz,88.5,23,NN,FM,5,
136,WA7SAR 95,147.08,DUP+,0.6,Tone,123.0Hz,88.5,23,NN,FM,5,
137,WA7SAR 476,444.6,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
138,N7JN 6196,146.7,DUP-,0.6,Tone,131.8Hz,88.5,23,NN,FM,5,
139,N7JN 6394,224.48,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
140,N7JN 368,443.45,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
141,W7ECG 8854,224.16,DUP-,1.6,Tone,156.7Hz,88.5,23,NN,FM,5,
142,W7ECG 7393,442.25,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
143,W7ECG 7100,442.825,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
144,W7AVM Whidbey Isl.,146.86,DUP-,0.6,Tone,127.3Hz,88.5,23,NN,FM,5,
145,W7AVM 345,147.22,DUP+,0.6,Tone,127.3Hz,88.5,23,NN,FM,5,
146,KB7ARA 31,147.02,DUP+,0.6,,88.5Hz,88.5,23,NN,FM,5,
147,K7BEL 489,441.1,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
148,WW7ATS Cougar Mtn WA,147.08,DUP+,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
149,WW7STR Cougar Mtn WA,147.875,DUP-,0.6,Tone,88.5Hz,88.5,23,NN,FM,5,
150,WW7STR 16503,224.44,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
151,WW7ATS 601,441.55,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
152,WW7STR Cougar Mtn WA,442.15,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
153,WW7STR Cougar Mtn WA,444.85,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
154,WW7STR Cougar Mtn WA,927.212,DUP-,25.0,Tone,114.8Hz,88.5,23,NN,FM,5,
155,W7EAT Eatonville,146.7,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
156,W7EAT Graham,224.18,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
157,K7DK Buck Mtn.,440.95,DUP+,5.0,Tone,110.9Hz,88.5,23,NN,FM,5,
